bookings_id,user_id,slot_id,lot_id,start_time,end_time,day_of_week,is_weekend,is_festival,weather_condition,price_at_booking,status
B118,U117,S801,P115,2025-10-10T08:04:00,2025-10-10T08:34:00,Friday,False,False,fog,24.26,completed
B119,U118,S1164,P124,2026-01-24T10:38:00,2026-01-24T12:08:00,Saturday,True,False,clear,35.99,cancelled
B120,U119,S134,P101,2026-01-24T14:45:00,2026-01-24T15:45:00,Saturday,True,False,clear,24.93,completed
B121,U120,S523,P108,2025-11-16T09:14:00,2025-11-16T13:14:00,Sunday,True,False,fog,33.39,completed
B122,U101,S893,P117,2026-01-27T16:44:00,2026-01-27T18:44:00,Tuesday,False,False,clear,34.51,completed
B123,U121,S1166,P124,2026-01-11T09:14:00,2026-01-11T10:14:00,Sunday,True,False,clear,41.9,completed
B124,U122,S811,P115,2025-10-01T15:16:00,2025-10-01T18:16:00,Wednesday,False,False,rain,22.98,completed
B125,U106,S1060,P121,2025-12-16T13:26:00,2025-12-16T19:26:00,Tuesday,False,False,clear,30.36,completed
B126,U123,S379,P105,2025-10-31T20:48:00,2025-10-31T23:48:00,Friday,False,False,rain,26.81,completed
B127,U124,S1040,P120,2025-10-21T06:33:00,2025-10-21T08:33:00,Tuesday,False,True,fog,27.52,completed
B128,U125,S502,P108,2026-01-02T12:30:00,2026-01-02T13:00:00,Friday,False,False,clear,25.79,cancelled
B129,U126,S237,P103,2025-12-28T04:06:00,2025-12-28T05:06:00,Sunday,True,False,clear,26.4,completed
B130,U127,S500,P108,2026-01-27T14:27:00,2026-01-27T15:27:00,Tuesday,False,False,clear,23.55,completed
B131,U128,S543,P109,2026-01-11T11:06:00,2026-01-11T11:36:00,Sunday,True,False,cloudy,20.66,completed
B132,U129,S1206,P124,2025-11-23T09:12:00,2025-11-23T10:42:00,Sunday,True,False,clear,40.06,completed
B133,U130,S574,P110,2025-10-19T07:00:00,2025-10-19T10:00:00,Sunday,True,False,fog,43.78,completed
B134,U131,S474,P107,2025-10-14T13:30:00,2025-10-14T14:30:00,Tuesday,False,False,clear,39.88,cancelled
B135,U132,S1349,P127,2025-12-06T19:46:00,2025-12-06T20:46:00,Saturday,True,False,rain,73.16,completed
B136,U133,S1180,P124,2025-12-11T13:14:00,2025-12-11T15:14:00,Thursday,False,False,clear,29.11,completed
B137,U134,S1430,P129,2025-12-29T20:19:00,2025-12-29T20:49:00,Monday,False,False,rain,22.04,completed
B138,U120,S486,P107,2026-01-12T07:42:00,2026-01-12T08:12:00,Monday,False,False,clear,38.71,completed
B139,U118,S1114,P123,2025-10-03T00:55:00,2025-10-03T01:55:00,Friday,False,False,clear,47.87,completed
B140,U135,S930,P118,2025-10-19T16:06:00,2025-10-19T17:06:00,Sunday,True,False,rain,28.89,completed
B141,U136,S1451,P130,2025-10-28T19:35:00,2025-10-28T20:05:00,Tuesday,False,False,fog,60.49,completed
B142,U137,S746,P114,2025-12-03T07:37:00,2025-12-03T10:37:00,Wednesday,False,False,clear,29.59,completed
B143,U138,S170,P102,2025-11-04T20:15:00,2025-11-04T21:45:00,Tuesday,False,False,clear,42.03,completed
B144,U139,S836,P116,2026-01-18T10:59:00,2026-01-18T13:59:00,Sunday,True,False,cloudy,30.44,cancelled
B145,U140,S728,P114,2025-12-05T16:47:00,2025-12-05T17:47:00,Friday,False,False,haze,28.32,completed
B146,U141,S744,P114,2025-12-16T06:19:00,2025-12-16T06:49:00,Tuesday,False,False,fog,28.13,completed
B147,U142,S793,P115,2025-11-16T07:01:00,2025-11-16T09:01:00,Sunday,True,False,clear,23.84,completed
B148,U143,S586,P110,2025-11-06T09:44:00,2025-11-06T13:44:00,Thursday,False,False,clear,48.54,completed
B149,U112,S924,P118,2025-10-29T07:07:00,2025-10-29T09:07:00,Wednesday,False,False,clear,22.2,completed
B150,U144,S900,P117,2026-01-04T23:30:00,2026-01-05T00:00:00,Sunday,True,False,cloudy,38.55,completed
B151,U112,S495,P108,2025-12-06T16:59:00,2025-12-06T17:59:00,Saturday,True,False,fog,29.49,completed
B152,U127,S146,P101,2025-10-11T14:52:00,2025-10-11T16:52:00,Saturday,True,False,clear,23.43,completed
B153,U144,S1041,P121,2025-12-26T16:03:00,2025-12-26T17:03:00,Friday,False,False,clear,30.33,completed
B154,U145,S876,P117,2026-01-26T01:50:00,2026-01-26T03:50:00,Monday,False,True,clear,47.98,completed
B155,U115,S1365,P127,2026-01-10T08:52:00,2026-01-10T10:52:00,Saturday,True,False,clear,69.72,completed
B156,U146,S369,P105,2025-12-03T17:23:00,2025-12-03T19:23:00,Wednesday,False,False,fog,21.43,completed
B157,U147,S1218,P124,2025-11-02T22:45:00,2025-11-03T00:15:00,Sunday,True,False,clear,34.46,completed
B158,U148,S471,P107,2026-01-22T19:00:00,2026-01-22T20:30:00,Thursday,False,False,clear,47.75,completed
B159,U149,S756,P115,2026-01-21T20:05:00,2026-01-21T21:35:00,Wednesday,False,False,cloudy,24.82,completed
B160,U150,S1034,P120,2025-11-26T21:08:00,2025-11-26T22:08:00,Wednesday,False,False,cloudy,18.24,completed
B161,U151,S170,P102,2026-01-19T20:51:00,2026-01-19T21:51:00,Monday,False,False,cloudy,41.48,completed
B162,U152,S1308,P126,2026-01-14T20:44:00,2026-01-14T22:14:00,Wednesday,False,True,clear,26.73,completed
B163,U153,S474,P107,2025-10-11T18:44:00,2025-10-11T21:44:00,Saturday,True,False,clear,54.6,completed
B164,U154,S1425,P129,2025-11-23T20:06:00,2025-11-23T23:06:00,Sunday,True,False,rain,25.41,completed
B165,U155,S1060,P121,2025-11-30T08:05:00,2025-11-30T10:05:00,Sunday,True,False,rain,41.2,completed
B166,U156,S347,P105,2025-10-26T11:58:00,2025-10-26T13:58:00,Sunday,True,False,clear,25.43,completed
B167,U157,S1053,P121,2025-12-15T09:23:00,2025-12-15T11:23:00,Monday,False,False,rain,39.11,completed
B168,U158,S1002,P119,2025-11-16T16:24:00,2025-11-16T20:24:00,Sunday,True,False,rain,42.91,completed
B169,U159,S1373,P128,2025-10-09T11:11:00,2025-10-09T12:41:00,Thursday,False,False,cloudy,36.77,completed
B170,U160,S529,P108,2025-11-09T17:09:00,2025-11-09T18:09:00,Sunday,True,False,rain,32.23,completed
B171,U161,S739,P114,2025-12-27T06:14:00,2025-12-27T09:14:00,Saturday,True,False,rain,37.07,completed
B172,U162,S803,P115,2025-11-11T08:16:00,2025-11-11T09:16:00,Tuesday,False,False,clear,24.43,completed
B173,U111,S1461,P130,2025-10-07T08:28:00,2025-10-07T08:58:00,Tuesday,False,False,cloudy,58.32,completed
B174,U163,S463,P107,2025-10-11T17:57:00,2025-10-11T19:27:00,Saturday,True,False,fog,44.39,completed
B175,U164,S1062,P121,2025-10-29T09:15:00,2025-10-29T12:15:00,Wednesday,False,False,clear,37.16,completed
B176,U152,S1172,P124,2026-01-01T22:54:00,2026-01-02T04:54:00,Thursday,False,False,clear,31.28,completed
B177,U165,S1474,P131,2025-12-10T07:04:00,2025-12-10T08:04:00,Wednesday,False,False,fog,25.98,completed
B178,U166,S391,P106,2025-11-21T19:05:00,2025-11-21T21:05:00,Friday,False,False,rain,52.79,completed
B179,U167,S490,P107,2025-12-02T08:09:00,2025-12-02T09:09:00,Tuesday,False,False,rain,54.05,completed
B180,U117,S1169,P124,2025-11-14T18:35:00,2025-11-14T19:35:00,Friday,False,False,clear,35.44,completed
B181,U168,S316,P104,2026-01-09T18:24:00,2026-01-09T21:24:00,Friday,False,False,haze,54.43,completed
B182,U169,S520,P108,2025-12-12T07:56:00,2025-12-12T11:56:00,Friday,False,False,rain,26.04,completed
B183,U160,S1422,P128,2025-11-16T19:15:00,2025-11-16T20:15:00,Sunday,True,False,fog,51.1,completed
B184,U170,S310,P104,2025-10-08T08:26:00,2025-10-08T10:26:00,Wednesday,False,False,rain,62.88,completed
B185,U171,S1031,P120,2025-12-08T10:52:00,2025-12-08T12:22:00,Monday,False,False,fog,18.33,completed
B186,U103,S730,P114,2025-11-09T07:14:00,2025-11-09T11:14:00,Sunday,True,False,clear,34.13,completed
B187,U172,S1476,P131,2025-10-01T14:46:00,2025-10-01T16:16:00,Wednesday,False,False,fog,25.92,completed
B188,U120,S1146,P123,2025-11-17T12:32:00,2025-11-17T13:32:00,Monday,False,False,cloudy,48.34,completed
B189,U173,S511,P108,2025-10-22T13:57:00,2025-10-22T19:57:00,Wednesday,False,False,clear,23.83,completed
B190,U174,S805,P115,2025-11-14T08:33:00,2025-11-14T09:33:00,Friday,False,False,clear,23.23,completed
B191,U103,S205,P102,2025-11-15T20:07:00,2025-11-15T21:07:00,Saturday,True,False,clear,47.31,completed
B192,U175,S909,P118,2025-10-09T11:27:00,2025-10-09T12:57:00,Thursday,False,False,clear,22.23,completed
B193,U162,S945,P118,2026-01-09T19:59:00,2026-01-09T21:59:00,Friday,False,False,clear,27.45,completed
B194,U175,S1111,P123,2026-01-09T20:09:00,2026-01-09T21:09:00,Friday,False,False,clear,57.55,completed
B195,U103,S584,P110,2026-01-20T19:20:00,2026-01-20T21:20:00,Tuesday,False,False,clear,49.29,completed
B196,U116,S1262,P126,2025-12-16T08:47:00,2025-12-16T12:47:00,Tuesday,False,False,haze,19.89,completed
B197,U176,S172,P102,2025-11-04T00:38:00,2025-11-04T06:38:00,Tuesday,False,False,fog,33.91,cancelled
B198,U177,S738,P114,2026-01-14T13:03:00,2026-01-14T14:03:00,Wednesday,False,True,rain,41.37,completed
B199,U178,S1459,P130,2026-01-03T11:37:00,2026-01-03T15:37:00,Saturday,True,False,clear,54.98,completed
B200,U160,S1192,P124,2025-11-19T13:43:00,2025-11-19T15:43:00,Wednesday,False,False,clear,30.22,completed
B201,U179,S1065,P121,2025-10-09T21:28:00,2025-10-09T22:28:00,Thursday,False,False,fog,28.88,completed
B202,U180,S442,P106,2025-10-11T19:40:00,2025-10-11T20:10:00,Saturday,True,False,clear,54.32,completed
B203,U181,S558,P110,2025-11-04T18:53:00,2025-11-05T00:53:00,Tuesday,False,False,clear,48.24,completed
B204,U113,S284,P104,2025-12-30T09:39:00,2025-12-30T13:39:00,Tuesday,False,False,haze,55.33,completed
B205,U182,S1444,P129,2025-12-28T11:44:00,2025-12-28T13:44:00,Sunday,True,False,clear,20.0,completed
B206,U111,S1544,P132,2025-12-10T20:30:00,2025-12-10T22:00:00,Wednesday,False,False,clear,28.09,completed
B207,U181,S933,P118,2025-11-18T12:20:00,2025-11-18T13:50:00,Tuesday,False,False,rain,24.3,completed
B208,U166,S516,P108,2026-01-08T17:05:00,2026-01-08T19:05:00,Thursday,False,False,clear,25.06,cancelled
B209,U107,S512,P108,2025-11-06T09:01:00,2025-11-06T10:01:00,Thursday,False,False,rain,32.95,completed
B210,U183,S1555,P132,2026-01-21T08:51:00,2026-01-21T10:51:00,Wednesday,False,False,cloudy,26.66,completed
B211,U106,S1021,P120,2026-01-13T07:16:00,2026-01-13T08:16:00,Tuesday,False,False,clear,19.13,completed
B212,U184,S1330,P126,2026-01-18T08:54:00,2026-01-18T10:24:00,Sunday,True,False,clear,22.97,completed
B213,U185,S127,P101,2026-01-01T16:57:00,2026-01-01T17:57:00,Thursday,False,False,cloudy,21.11,completed
B214,U186,S750,P114,2025-10-08T22:19:00,2025-10-08T23:49:00,Wednesday,False,False,clear,29.1,completed
B215,U187,S884,P117,2025-12-05T11:01:00,2025-12-05T14:01:00,Friday,False,False,rain,39.17,completed
B216,U188,S494,P108,2025-11-13T21:26:00,2025-11-14T00:26:00,Thursday,False,False,haze,24.22,completed
B217,U112,S1378,P128,2026-01-11T13:32:00,2026-01-11T15:32:00,Sunday,True,False,cloudy,43.18,completed
B218,U148,S1234,P125,2026-01-06T20:14:00,2026-01-07T00:14:00,Tuesday,False,False,cloudy,24.69,completed
B219,U118,S1115,P123,2026-01-21T18:58:00,2026-01-21T21:58:00,Wednesday,False,False,clear,61.85,completed
B220,U189,S245,P103,2025-10-13T13:28:00,2025-10-13T14:28:00,Monday,False,False,clear,24.35,completed
B221,U190,S1451,P130,2025-12-16T08:17:00,2025-12-16T10:17:00,Tuesday,False,False,fog,57.9,completed
B222,U191,S1403,P128,2025-11-04T19:13:00,2025-11-04T22:13:00,Tuesday,False,False,fog,44.29,completed
B223,U115,S1350,P127,2025-11-13T10:00:00,2025-11-13T13:00:00,Thursday,False,False,haze,53.11,completed
B224,U187,S1256,P126,2025-10-29T18:08:00,2025-10-29T19:08:00,Wednesday,False,False,clear,19.8,completed
B225,U192,S630,P111,2025-11-24T08:59:00,2025-11-24T09:59:00,Monday,False,False,rain,66.6,completed
B226,U193,S1164,P124,2025-11-18T21:37:00,2025-11-19T03:37:00,Tuesday,False,False,clear,28.63,completed
B227,U193,S458,P107,2026-01-21T18:08:00,2026-01-21T19:08:00,Wednesday,False,False,clear,50.05,completed
B228,U154,S1321,P126,2025-10-27T07:39:00,2025-10-27T10:39:00,Monday,False,False,clear,16.14,completed
B229,U194,S1293,P126,2025-10-19T15:25:00,2025-10-19T16:55:00,Sunday,True,False,clear,19.54,completed
B230,U138,S1081,P122,2026-01-04T23:39:00,2026-01-05T05:39:00,Sunday,True,False,rain,52.07,completed
B231,U195,S595,P111,2025-10-13T18:05:00,2025-10-14T00:05:00,Monday,False,False,clear,60.83,completed
B232,U195,S527,P108,2025-11-05T12:27:00,2025-11-05T12:57:00,Wednesday,False,False,clear,25.08,completed
B233,U196,S697,P113,2025-12-31T18:21:00,2025-12-31T21:21:00,Wednesday,False,False,cloudy,27.06,completed
B234,U171,S563,P110,2026-01-21T09:24:00,2026-01-21T11:24:00,Wednesday,False,False,clear,49.53,completed
B235,U197,S564,P110,2025-10-21T20:29:00,2025-10-21T21:29:00,Tuesday,False,True,cloudy,66.54,completed
B236,U198,S651,P112,2026-01-18T07:05:00,2026-01-18T08:35:00,Sunday,True,False,clear,52.27,cancelled
B237,U199,S350,P105,2025-12-01T00:03:00,2025-12-01T01:33:00,Monday,False,False,clear,21.87,completed
B238,U181,S1547,P132,2025-10-12T17:02:00,2025-10-12T20:02:00,Sunday,True,False,haze,25.65,completed
B239,U139,S1444,P129,2025-10-04T19:08:00,2025-10-04T22:08:00,Saturday,True,False,clear,23.07,completed
B240,U190,S1061,P121,2025-11-24T06:49:00,2025-11-24T08:19:00,Monday,False,False,clear,30.55,completed
B241,U200,S576,P110,2025-12-10T18:15:00,2025-12-10T19:45:00,Wednesday,False,False,clear,49.29,completed
B242,U201,S1480,P131,2025-12-25T11:27:00,2025-12-25T12:27:00,Thursday,False,True,clear,35.12,completed
B243,U147,S1028,P120,2025-12-17T07:45:00,2025-12-17T08:15:00,Wednesday,False,False,rain,20.01,completed
B244,U158,S319,P104,2025-10-20T19:10:00,2025-10-20T20:40:00,Monday,False,True,clear,78.43,completed
B245,U123,S358,P105,2026-01-11T17:08:00,2026-01-11T18:38:00,Sunday,True,False,rain,26.33,completed
B246,U184,S1424,P129,2025-10-23T22:52:00,2025-10-24T01:52:00,Thursday,False,False,clear,16.5,completed
B247,U202,S1189,P124,2025-12-14T17:13:00,2025-12-14T18:13:00,Sunday,True,False,clear,35.22,completed
B248,U157,S425,P106,2025-10-01T15:33:00,2025-10-01T18:33:00,Wednesday,False,False,haze,41.29,completed
B249,U203,S1249,P125,2025-11-25T04:01:00,2025-11-25T06:01:00,Tuesday,False,False,rain,21.85,completed
B250,U173,S246,P103,2025-12-14T12:15:00,2025-12-14T15:15:00,Sunday,True,False,cloudy,28.5,completed
B251,U204,S694,P113,2025-11-11T11:33:00,2025-11-11T12:33:00,Tuesday,False,False,clear,21.9,completed
B252,U205,S1481,P131,2025-10-20T15:18:00,2025-10-20T17:18:00,Monday,False,True,clear,34.61,completed
B253,U171,S331,P104,2025-11-13T08:00:00,2025-11-13T12:00:00,Thursday,False,False,clear,56.9,completed
B254,U158,S1072,P122,2026-01-02T20:10:00,2026-01-02T21:40:00,Friday,False,False,cloudy,49.79,completed
B255,U206,S633,P112,2026-01-09T05:56:00,2026-01-09T06:56:00,Friday,False,False,clear,47.92,completed
B256,U207,S1437,P129,2025-11-25T17:11:00,2025-11-25T18:11:00,Tuesday,False,False,rain,17.97,completed
B257,U208,S614,P111,2025-11-19T12:12:00,2025-11-19T13:12:00,Wednesday,False,False,fog,49.74,completed
B258,U124,S997,P119,2025-12-18T09:51:00,2025-12-18T11:21:00,Thursday,False,False,clear,39.49,completed
B259,U170,S1110,P122,2025-12-03T08:21:00,2025-12-03T10:21:00,Wednesday,False,False,rain,52.47,completed
B260,U209,S316,P104,2026-01-05T20:53:00,2026-01-05T21:23:00,Monday,False,False,clear,53.87,completed
B261,U117,S1073,P122,2025-10-07T16:06:00,2025-10-07T17:06:00,Tuesday,False,False,clear,43.06,completed
B262,U210,S1238,P125,2026-01-24T19:45:00,2026-01-24T21:15:00,Saturday,True,False,clear,28.19,completed
B263,U154,S569,P110,2025-11-23T11:02:00,2025-11-23T12:02:00,Sunday,True,False,rain,52.33,completed
B264,U211,S570,P110,2025-10-11T19:34:00,2025-10-11T20:34:00,Saturday,True,False,rain,60.88,completed
B265,U157,S1270,P126,2025-11-09T13:29:00,2025-11-09T19:29:00,Sunday,True,False,rain,20.6,cancelled
B266,U174,S405,P106,2026-01-05T16:23:00,2026-01-05T17:23:00,Monday,False,False,clear,39.72,completed
B267,U145,S1241,P125,2025-10-27T06:11:00,2025-10-27T09:11:00,Monday,False,False,clear,20.07,completed
B268,U168,S427,P106,2025-12-09T12:21:00,2025-12-09T13:51:00,Tuesday,False,False,clear,40.98,completed
B269,U134,S1399,P128,2025-11-15T21:55:00,2025-11-15T23:25:00,Saturday,True,False,cloudy,43.16,completed
B270,U211,S190,P102,2025-11-02T15:27:00,2025-11-02T16:57:00,Sunday,True,False,clear,40.5,completed
B271,U212,S638,P112,2025-11-12T09:33:00,2025-11-12T10:33:00,Wednesday,False,False,rain,61.01,completed
B272,U213,S1512,P132,2025-12-03T07:05:00,2025-12-03T09:05:00,Wednesday,False,False,clear,22.81,completed
B273,U202,S535,P109,2026-01-12T15:12:00,2026-01-12T18:12:00,Monday,False,False,cloudy,17.19,completed
B274,U158,S979,P119,2025-12-03T20:49:00,2025-12-03T22:49:00,Wednesday,False,False,cloudy,42.03,completed
B275,U162,S260,P103,2026-01-28T21:03:00,2026-01-28T22:33:00,Wednesday,False,False,rain,27.52,completed
B276,U198,S543,P109,2026-01-19T00:34:00,2026-01-19T01:04:00,Monday,False,False,fog,17.94,completed
B277,U214,S602,P111,2026-01-18T02:33:00,2026-01-18T04:33:00,Sunday,True,False,fog,61.47,completed
B278,U125,S619,P111,2025-10-29T13:29:00,2025-10-29T13:59:00,Wednesday,False,False,clear,53.11,completed
B279,U107,S1355,P127,2026-01-21T20:19:00,2026-01-21T21:49:00,Wednesday,False,False,fog,62.05,completed
B280,U215,S856,P116,2025-10-07T07:16:00,2025-10-07T10:16:00,Tuesday,False,False,clear,26.95,completed
B281,U216,S1001,P119,2025-10-26T21:32:00,2025-10-27T03:32:00,Sunday,True,False,rain,44.58,completed
B282,U217,S847,P116,2026-01-11T16:11:00,2026-01-11T19:11:00,Sunday,True,False,clear,30.61,completed
B283,U107,S700,P113,2025-10-15T19:06:00,2025-10-15T20:36:00,Wednesday,False,False,clear,26.39,completed
B284,U218,S1437,P129,2025-12-16T16:58:00,2025-12-16T18:28:00,Tuesday,False,False,rain,18.48,cancelled
B285,U148,S997,P119,2025-10-16T07:25:00,2025-10-16T10:25:00,Thursday,False,False,rain,39.16,completed
B286,U219,S1342,P127,2025-10-09T09:17:00,2025-10-09T12:17:00,Thursday,False,False,haze,58.71,completed
B287,U180,S539,P109,2026-01-21T13:31:00,2026-01-21T15:31:00,Wednesday,False,False,rain,18.73,completed
B288,U208,S1486,P131,2025-12-15T11:40:00,2025-12-15T13:40:00,Monday,False,False,clear,24.65,completed
B289,U220,S488,P107,2025-12-09T14:27:00,2025-12-09T15:27:00,Tuesday,False,False,clear,38.71,completed
B290,U221,S512,P108,2025-12-08T10:11:00,2025-12-08T10:41:00,Monday,False,False,haze,25.76,completed
B291,U161,S608,P111,2025-10-24T19:24:00,2025-10-25T01:24:00,Friday,False,False,clear,59.36,completed
B292,U165,S575,P110,2025-12-09T20:39:00,2025-12-09T22:39:00,Tuesday,False,False,clear,47.74,completed
B293,U196,S808,P115,2025-10-17T03:25:00,2025-10-17T04:55:00,Friday,False,False,clear,21.31,completed
B294,U180,S193,P102,2025-11-27T04:57:00,2025-11-27T06:57:00,Thursday,False,False,fog,33.98,completed
B295,U208,S1318,P126,2025-12-02T04:54:00,2025-12-02T08:54:00,Tuesday,False,False,rain,18.97,completed
B296,U154,S852,P116,2026-01-18T05:07:00,2026-01-18T08:07:00,Sunday,True,False,rain,32.54,completed
B297,U222,S1181,P124,2025-12-26T20:32:00,2025-12-26T22:32:00,Friday,False,False,clear,35.54,completed
B298,U153,S1044,P121,2026-01-04T05:26:00,2026-01-04T11:26:00,Sunday,True,False,cloudy,33.67,completed
B299,U186,S1076,P122,2026-01-03T09:11:00,2026-01-03T15:11:00,Saturday,True,False,clear,53.87,completed
B300,U217,S236,P103,2025-12-20T18:52:00,2025-12-20T21:52:00,Saturday,True,False,clear,33.94,completed
B301,U146,S546,P109,2025-12-14T21:50:00,2025-12-14T22:50:00,Sunday,True,False,clear,20.86,completed
B302,U189,S111,P101,2025-11-06T14:32:00,2025-11-06T18:32:00,Thursday,False,False,clear,21.83,completed
B303,U205,S881,P117,2025-11-22T13:42:00,2025-11-22T15:12:00,Saturday,True,False,cloudy,40.04,completed
B304,U142,S1374,P128,2025-11-03T11:21:00,2025-11-03T11:51:00,Monday,False,False,clear,36.57,completed
B305,U185,S988,P119,2025-12-08T12:46:00,2025-12-08T16:46:00,Monday,False,False,clear,34.83,completed
B306,U223,S497,P108,2025-10-11T07:02:00,2025-10-11T08:02:00,Saturday,True,False,clear,29.71,completed
B307,U209,S1361,P127,2026-01-07T14:13:00,2026-01-07T18:13:00,Wednesday,False,False,fog,53.82,completed
B308,U157,S525,P108,2025-10-05T04:14:00,2025-10-05T05:14:00,Sunday,True,False,cloudy,27.12,completed
B309,U224,S207,P102,2025-10-18T15:11:00,2025-10-18T19:11:00,Saturday,True,False,rain,43.5,completed
B310,U116,S873,P116,2025-12-19T08:37:00,2025-12-19T11:37:00,Friday,False,False,clear,32.73,completed
B311,U143,S1000,P119,2025-12-18T21:51:00,2025-12-18T22:51:00,Thursday,False,False,clear,33.03,completed
B312,U173,S1126,P123,2025-11-26T12:13:00,2025-11-26T16:13:00,Wednesday,False,False,cloudy,49.61,completed
B313,U183,S1343,P127,2025-11-09T14:46:00,2025-11-09T15:46:00,Sunday,True,False,clear,58.02,completed
B314,U134,S419,P106,2025-10-23T17:39:00,2025-10-23T19:09:00,Thursday,False,False,clear,39.34,completed
B315,U225,S372,P105,2026-01-01T07:43:00,2026-01-01T11:43:00,Thursday,False,False,cloudy,20.63,completed
B316,U217,S191,P102,2026-01-07T13:06:00,2026-01-07T14:36:00,Wednesday,False,False,haze,34.7,completed
B317,U226,S258,P103,2026-01-21T23:26:00,2026-01-22T00:56:00,Wednesday,False,False,cloudy,23.95,completed
B318,U176,S1185,P124,2026-01-19T05:25:00,2026-01-19T07:25:00,Monday,False,False,clear,29.11,completed
B319,U200,S189,P102,2025-12-26T05:38:00,2025-12-26T11:38:00,Friday,False,False,fog,34.56,completed
B320,U227,S1126,P123,2025-11-29T13:53:00,2025-11-29T14:23:00,Saturday,True,False,cloudy,59.61,completed
B321,U203,S492,P107,2025-12-26T18:38:00,2025-12-26T20:08:00,Friday,False,False,haze,48.86,cancelled
B322,U125,S1075,P122,2025-10-24T16:51:00,2025-10-24T17:51:00,Friday,False,False,rain,46.49,completed
B323,U162,S1145,P123,2026-01-02T21:40:00,2026-01-02T23:10:00,Friday,False,False,clear,49.84,completed
B324,U228,S646,P112,2025-12-15T14:48:00,2025-12-15T16:48:00,Monday,False,False,clear,47.32,completed
B325,U175,S1483,P131,2025-12-03T18:12:00,2025-12-03T19:12:00,Wednesday,False,False,clear,30.07,completed
B326,U229,S533,P109,2025-11-14T18:37:00,2025-11-14T22:37:00,Friday,False,False,clear,20.66,completed
B327,U102,S1450,P130,2025-12-07T21:06:00,2025-12-07T22:06:00,Sunday,True,False,cloudy,54.3,completed
B328,U219,S658,P113,2025-11-17T14:17:00,2025-11-17T18:17:00,Monday,False,False,rain,24.66,completed
B329,U211,S238,P103,2025-10-21T07:42:00,2025-10-21T09:12:00,Tuesday,False,True,rain,35.92,completed
B330,U230,S1323,P126,2026-01-05T09:08:00,2026-01-05T10:08:00,Monday,False,False,clear,19.27,completed
B331,U231,S876,P117,2025-12-24T18:33:00,2025-12-24T19:03:00,Wednesday,False,False,rain,45.7,completed
B332,U232,S689,P113,2025-10-29T18:46:00,2025-10-29T21:46:00,Wednesday,False,False,clear,26.08,completed
B333,U113,S316,P104,2025-11-22T08:49:00,2025-11-22T10:19:00,Saturday,True,False,clear,61.04,completed
B334,U193,S517,P108,2025-10-28T11:28:00,2025-10-28T12:28:00,Tuesday,False,False,cloudy,25.28,completed
B335,U233,S1310,P126,2025-10-21T09:18:00,2025-10-21T10:18:00,Tuesday,False,True,cloudy,26.52,completed
B336,U188,S1078,P122,2025-12-24T11:18:00,2025-12-24T12:18:00,Wednesday,False,False,clear,42.68,completed
B337,U220,S1535,P132,2025-10-08T13:55:00,2025-10-08T15:55:00,Wednesday,False,False,rain,26.31,completed
B338,U149,S916,P118,2025-12-14T16:59:00,2025-12-14T20:59:00,Sunday,True,False,fog,27.47,completed
B339,U166,S1372,P128,2025-11-30T13:47:00,2025-11-30T14:17:00,Sunday,True,False,haze,41.78,completed
