id,lot_id,slot_number,vehicle_type,status
S472,P111,A14,car,occupied
S473,P130,A15,car,reserved
S474,P115,A16,car,occupied
S475,P107,A18,car,occupied
S476,P114,A20,car,occupied
S477,P126,B01,car,occupied
S478,P123,B02,car,available
S479,P125,B04,car,reserved
S480,P135,B05,car,available
S481,P136,B06,car,available
S482,P116,B07,car,occupied
S483,P132,B09,car,occupied
S484,P106,B10,car,reserved
S485,P132,B11,car,available
S486,P101,B13,car,available
S487,P113,B15,car,reserved
S488,P135,B16,car,available
S489,P128,B17,car,available
S490,P109,B18,car,reserved
S491,P130,B19,car,reserved
S492,P114,B20,car,reserved
S493,P123,C02,car,available
S494,P136,C03,car,occupied
S495,P113,A01,ev,reserved
S496,P111,A03,ev,available
S497,P109,A04,ev,occupied
S498,P110,A05,ev,available
S499,P122,A06,ev,available
S500,P118,A07,ev,occupied
S501,P108,A08,ev,occupied
S502,P130,A09,ev,reserved
S503,P113,A11,ev,reserved
S504,P133,A12,ev,reserved
S505,P107,A13,ev,available
S506,P130,A14,ev,reserved
S507,P117,A17,ev,available
S508,P117,A18,ev,occupied
S509,P116,A20,ev,available
S510,P118,B01,ev,available
S511,P116,B02,ev,reserved
S512,P116,B03,ev,occupied
S513,P102,B04,ev,occupied
S514,P114,B05,ev,reserved
S515,P135,B06,ev,reserved
S516,P125,B07,ev,reserved
S517,P125,B08,ev,available
S518,P107,B09,ev,available
S519,P115,B10,ev,reserved
S520,P123,B12,ev,available
S521,P128,B13,ev,occupied
S522,P102,B14,ev,available
S523,P133,B16,ev,occupied
S524,P130,B18,ev,occupied
S525,P112,B19,ev,reserved
S526,P114,B20,ev,reserved
S527,P135,C01,ev,occupied
S528,P126,A01,ev,reserved
S529,P122,A02,ev,reserved
S530,P134,A04,car,reserved
S531,P109,A05,ev,available
S532,P108,A06,car,available
S533,P132,A07,car,occupied
S534,P114,A08,car,available
S535,P117,A10,car,reserved
S536,P112,A11,ev,available
S537,P132,A12,car,reserved
S538,P125,A13,bike,reserved
S539,P114,A15,ev,available
S540,P104,A17,ev,reserved
S541,P104,A18,ev,occupied
S542,P117,A19,car,reserved
S543,P136,A20,ev,occupied
S544,P125,B01,car,reserved
S545,P116,A01,bike,reserved
S546,P112,A02,ev,available
S547,P106,A03,ev,reserved
S548,P111,A04,ev,available
S549,P122,A05,ev,available
S550,P126,A06,bike,occupied
S551,P105,A07,bike,reserved
S552,P123,A08,car,occupied
S553,P115,A10,ev,reserved
S554,P107,A11,bike,reserved
S555,P117,A12,car,available
S556,P102,A13,bike,occupied
S557,P102,A14,bike,occupied
S558,P110,A15,car,occupied
S559,P104,A16,ev,available
S560,P125,A17,ev,reserved
S561,P120,A18,bike,reserved
S562,P101,A19,bike,reserved
S563,P105,A20,bike,reserved
S564,P125,B02,car,reserved
S565,P118,B03,bike,available
S566,P130,B05,ev,available
S567,P126,B06,car,occupied
S568,P135,B07,car,available
S569,P139,B08,ev,occupied
S570,P128,B09,car,occupied
S571,P105,B10,ev,available
S572,P101,B11,bike,reserved
S573,P132,B12,car,occupied
S574,P125,B14,car,occupied
S575,P108,B16,bike,reserved
S576,P135,B17,bike,occupied
S577,P130,B19,bike,reserved
S578,P114,B20,ev,available
S579,P117,C01,ev,reserved
S580,P135,C02,bike,occupied
S581,P101,C03,ev,occupied
S582,P112,C05,ev,available
S583,P134,C06,car,occupied
S584,P134,C07,ev,reserved
S585,P136,C08,ev,reserved
S586,P112,C09,bike,reserved
S587,P135,C10,ev,available
S588,P113,C12,car,available
S589,P114,C14,car,reserved
S590,P102,C15,car,occupied
S591,P135,C16,ev,reserved
S592,P111,C17,ev,occupied
S593,P130,C18,car,available
S594,P104,D01,ev,available
S595,P139,D05,car,reserved
S596,P104,D06,ev,occupied
S597,P140,D07,ev,reserved
S598,P115,D08,bike,available
S599,P134,D09,ev,occupied
S600,P115,D11,bike,available
S601,P110,D12,car,reserved
S602,P140,D13,car,reserved
S603,P118,A02,bike,reserved
S604,P102,A03,bike,reserved
S605,P105,A04,car,reserved
S606,P135,A05,car,reserved
S607,P111,A06,bike,reserved
S608,P135,A07,car,reserved
S609,P117,A08,ev,occupied
S610,P104,A09,bike,available
S611,P120,A10,car,available
S612,P140,A11,ev,reserved
S613,P135,A12,bike,reserved
S614,P135,A13,ev,available
S615,P101,A15,bike,reserved
S616,P126,A16,ev,available
S617,P126,A18,car,available
S618,P108,A19,car,available
S619,P116,A20,ev,reserved
S620,P136,B01,car,reserved
S621,P121,B03,car,available
S622,P101,B05,ev,occupied
S623,P115,A01,bike,occupied
S624,P111,A02,bike,available
S625,P121,A03,bike,available
S626,P133,A04,bike,occupied
S627,P121,A06,bike,reserved
S628,P122,A08,bike,reserved
S629,P113,A09,bike,available
S630,P112,A11,bike,reserved
S631,P125,A12,bike,available
S632,P125,A13,bike,reserved
S633,P115,A14,bike,reserved
S634,P123,A15,bike,available
S635,P104,A16,bike,available
S636,P108,A17,bike,occupied
S637,P114,A18,bike,occupied
S638,P111,B01,bike,available
S639,P132,B02,bike,available
S640,P108,B05,bike,reserved
S641,P110,B06,bike,reserved
S642,P106,B08,bike,reserved
S643,P110,B09,bike,occupied
S644,P114,B10,bike,available
S645,P102,B12,bike,occupied
S646,P102,B14,bike,available
S647,P132,B15,bike,available
S648,P117,B17,bike,available
S649,P130,B18,bike,occupied
S650,P112,B19,bike,occupied
S651,P111,B20,bike,available
S652,P125,C02,bike,occupied
S653,P132,C03,bike,occupied
S654,P101,C04,bike,reserved
S655,P112,C05,bike,reserved
S656,P112,C06,bike,available
S657,P132,C07,bike,reserved
S658,P136,C09,bike,available
S659,P116,C10,bike,reserved
S660,P125,C11,bike,available
S661,P135,C12,bike,reserved
S662,P104,C13,bike,available
S663,P134,C14,bike,available
S664,P120,C15,bike,occupied
S665,P134,C16,bike,occupied
S666,P120,C17,bike,available
S667,P110,C19,bike,occupied
S668,P111,C20,bike,available
S669,P121,D01,bike,available
S670,P110,D02,bike,reserved
S671,P105,D03,bike,reserved
S672,P139,D05,bike,occupied
S673,P106,D06,bike,available
S674,P110,D07,bike,reserved
S675,P139,D08,bike,reserved
S676,P134,D09,bike,available
S677,P107,D10,bike,reserved
S678,P101,D11,bike,reserved
S679,P125,D12,bike,reserved
S680,P105,D13,bike,reserved
S681,P132,D14,bike,occupied
S682,P110,D15,bike,available
S683,P125,D16,bike,occupied
S684,P105,D17,bike,occupied
S685,P126,A02,car,reserved
S686,P104,A03,bike,occupied
S687,P112,A04,car,available
S688,P102,A06,bike,reserved
S689,P120,A07,bike,available
S690,P104,A08,car,available
S691,P126,A09,bike,available
S692,P118,A10,car,reserved
S693,P112,A11,ev,occupied
S694,P106,A12,car,reserved
S695,P102,A13,ev,reserved
S696,P136,A14,car,reserved
S697,P106,A15,bike,occupied
S698,P126,A16,ev,reserved
S699,P125,A17,bike,occupied
S700,P117,A18,ev,available
S701,P134,A19,ev,available
S702,P106,A20,car,available
S703,P115,B01,car,reserved
S704,P123,B03,car,reserved
S705,P113,B04,bike,occupied
S706,P116,B05,car,reserved
S707,P135,B06,car,available
S708,P107,B07,ev,occupied
S709,P123,B10,ev,occupied
S710,P102,B11,ev,available
S711,P122,B13,bike,available
S712,P116,B14,car,available
S713,P105,B15,ev,occupied
S714,P134,B16,car,reserved
S715,P133,B17,bike,available
S716,P111,B18,car,reserved
S717,P128,B19,bike,available
S718,P140,C02,bike,occupied
S719,P115,C03,bike,occupied
S720,P101,C04,bike,reserved
S721,P106,C05,car,available
S722,P115,C06,car,reserved
S723,P118,A01,ev,reserved
S724,P130,A02,car,reserved
S725,P140,A04,bike,occupied
S726,P139,A05,bike,occupied
S727,P121,A06,car,available
S728,P112,A07,bike,occupied
S729,P128,A08,bike,occupied
S730,P132,A09,ev,occupied
S731,P130,A11,bike,occupied
S732,P107,A12,ev,occupied
S733,P128,A14,bike,available
S734,P139,A15,car,reserved
S735,P102,A16,car,available
S736,P116,A17,bike,available
S737,P122,A18,car,reserved
S738,P125,A19,ev,occupied
S739,P134,A20,bike,occupied
S740,P135,B01,car,reserved
S741,P112,B03,ev,reserved
S742,P116,B04,bike,reserved
S743,P120,B05,bike,reserved
S744,P107,B07,bike,reserved
S745,P111,B08,bike,occupied
S746,P102,B09,ev,available
S747,P108,B10,ev,reserved
S748,P114,A01,bike,occupied
S749,P121,A02,bike,reserved
S750,P134,A04,bike,reserved
S751,P121,A06,bike,occupied
S752,P123,A07,bike,reserved
S753,P105,A08,bike,occupied
S754,P128,A09,bike,occupied
S755,P110,A10,bike,reserved
S756,P134,A11,bike,occupied
S757,P112,A12,bike,reserved
S758,P107,A13,bike,occupied
S759,P135,A15,bike,occupied
S760,P120,A16,bike,available
S761,P109,A18,bike,available
S762,P118,A19,bike,occupied
S763,P107,A20,bike,reserved
S764,P134,B01,bike,reserved
S765,P114,B03,bike,occupied
S766,P117,B04,bike,available
S767,P110,B05,bike,reserved
S768,P101,B06,bike,reserved
S769,P140,B07,bike,reserved
S770,P121,B08,bike,available
S771,P115,B09,bike,reserved
S772,P109,B10,bike,reserved
S773,P133,B11,bike,occupied
S774,P140,B12,bike,occupied
S775,P130,B13,bike,reserved
S776,P111,B14,bike,available
S777,P126,B15,bike,reserved
S778,P107,B16,bike,available
S779,P136,B19,bike,occupied
S780,P128,C01,bike,available
S781,P116,C02,bike,available
S782,P133,C03,bike,occupied
S783,P122,C04,bike,available
S784,P121,C05,bike,available
S785,P126,C06,bike,available
S786,P104,C07,bike,available
S787,P105,C08,bike,occupied
S788,P108,C09,bike,available
S789,P106,C10,bike,occupied
S790,P128,C13,bike,available
S791,P128,C14,bike,available
S792,P107,C17,bike,reserved
S793,P102,C18,bike,occupied
S794,P123,C19,bike,available
S795,P111,D01,bike,available
S796,P115,D02,bike,reserved
S797,P126,D03,bike,occupied
S798,P116,D04,bike,reserved
S799,P136,D05,bike,available
S800,P111,D06,bike,occupied
S801,P114,D07,bike,reserved
S802,P140,A01,car,occupied
S803,P113,A02,car,reserved
S804,P115,A03,car,reserved
S805,P112,A04,car,available
S806,P104,A05,car,occupied
S807,P101,A06,car,reserved
S808,P106,A07,car,occupied
S809,P102,A09,car,occupied
S810,P139,A10,car,occupied
S811,P104,A11,car,available
S812,P105,A13,car,reserved
S813,P135,A15,car,occupied
S814,P118,A16,car,occupied
S815,P107,A18,car,available
S816,P109,A19,car,occupied
S817,P107,A20,car,reserved
S818,P120,B02,car,available
S819,P118,B04,car,reserved
S820,P132,B05,car,reserved
S821,P112,B06,car,reserved
S822,P128,B07,car,available
S823,P121,B08,car,available
S824,P117,B11,car,occupied
S825,P107,B12,car,occupied
S826,P121,B13,car,available
S827,P123,B14,car,occupied
S828,P115,B15,car,reserved
S829,P122,B16,car,available
S830,P125,B17,car,available
S831,P105,B18,car,reserved
S832,P116,B19,car,reserved
S833,P132,B20,car,reserved
S834,P101,C01,car,available
S835,P110,C02,car,occupied
S836,P104,C03,car,available
S837,P126,C04,car,occupied
S838,P116,C06,car,occupied
S839,P128,C07,car,available
S840,P101,A01,bike,available
S841,P112,A02,bike,available
S842,P115,A03,bike,occupied
S843,P136,A04,bike,occupied
S844,P107,A05,bike,reserved
S845,P120,A06,bike,reserved
S846,P111,A07,bike,available
S847,P112,A09,bike,occupied
S848,P116,A13,bike,reserved
S849,P106,A14,bike,occupied
S850,P109,A15,bike,reserved
S851,P132,A16,bike,occupied
S852,P135,A17,bike,occupied
S853,P136,A18,bike,reserved
S854,P104,A19,bike,reserved
S855,P132,A20,bike,occupied
S856,P113,B01,bike,reserved
S857,P105,A01,bike,reserved
S858,P121,A02,ev,occupied
S859,P122,A03,car,occupied
S860,P123,A04,bike,occupied
S861,P140,A05,car,available
S862,P102,A07,bike,reserved
S863,P125,A08,car,reserved
S864,P136,A09,ev,available
S865,P115,A10,ev,reserved
S866,P108,A11,ev,available
S867,P133,A12,ev,available
S868,P132,A14,ev,occupied
S869,P111,A15,ev,available
S870,P112,A16,car,occupied
S871,P104,A19,car,reserved
S872,P108,B01,bike,available
S873,P110,B02,ev,occupied
S874,P134,B03,bike,occupied
S875,P130,B04,ev,reserved
S876,P114,B05,car,occupied
S877,P110,B06,ev,reserved
S878,P121,A01,bike,available
S879,P133,A02,ev,occupied
S880,P107,A03,bike,occupied
S881,P112,A05,bike,reserved
S882,P105,A06,bike,occupied
S883,P112,A07,bike,available
S884,P123,A08,ev,available
S885,P109,A09,bike,available
S886,P110,A10,ev,reserved
S887,P135,A15,bike,available
S888,P106,A16,ev,reserved
S889,P130,A17,ev,available
S890,P101,A18,car,available
S891,P125,A19,ev,available
S892,P106,A20,ev,occupied
S893,P132,B01,bike,occupied
S894,P117,B02,bike,occupied
S895,P117,B05,bike,occupied
S896,P128,B06,bike,reserved
S897,P106,B07,car,occupied
S898,P102,B08,bike,reserved
S899,P125,B09,ev,occupied
S900,P104,B10,ev,occupied
S901,P123,B11,ev,available
S902,P121,B12,bike,reserved
S903,P109,B13,bike,occupied
S904,P101,B14,bike,reserved
S905,P120,B15,bike,available
S906,P136,B16,ev,reserved
S907,P130,B17,car,available
S908,P107,B18,ev,available
S909,P135,B19,bike,reserved
S910,P140,C01,car,reserved
S911,P116,C02,ev,available
S912,P118,C04,bike,occupied
S913,P113,A01,ev,reserved
S914,P118,A02,ev,reserved
S915,P101,A03,ev,available
S916,P114,A04,ev,occupied
S917,P140,A05,bike,reserved
S918,P135,A06,car,occupied
S919,P118,A07,car,occupied
S920,P109,A08,ev,available
S921,P104,A09,bike,available
S922,P126,A11,car,reserved
S923,P122,A12,car,available
S924,P135,A13,car,reserved
S925,P101,A14,car,available
S926,P122,A15,car,occupied
S927,P104,A16,bike,occupied
S928,P126,A17,ev,available
S929,P112,A18,car,reserved
S930,P130,A19,bike,available
S931,P120,B01,ev,occupied
S932,P120,B02,ev,reserved
S933,P125,B05,ev,available
S934,P104,B06,bike,available
S935,P126,B07,bike,available
S936,P108,B08,bike,available
S937,P128,B09,car,available
S938,P110,B10,car,reserved
S939,P113,B11,ev,available
S940,P136,B12,ev,reserved
S941,P111,B14,car,available
S942,P102,B16,car,available
S943,P113,B17,car,available
S944,P106,B20,bike,available
S945,P136,C01,car,reserved
S946,P110,C02,ev,occupied
S947,P123,A01,ev,available
S948,P107,A02,ev,available
S949,P140,A05,ev,reserved
S950,P108,A06,ev,reserved
S951,P133,A08,ev,occupied
S952,P109,A09,ev,occupied
S953,P118,A10,ev,available
S954,P120,A11,ev,reserved
S955,P133,A12,ev,reserved
S956,P117,A13,ev,reserved
S957,P118,A15,ev,reserved
S958,P135,A16,ev,occupied
S959,P135,A18,ev,available
S960,P104,A19,ev,occupied
S961,P108,B01,ev,occupied
S962,P139,B02,ev,reserved
S963,P106,B03,ev,reserved
S964,P106,B04,ev,reserved
S965,P123,B05,ev,occupied
S966,P128,B06,ev,available
S967,P109,B07,ev,reserved
S968,P109,B09,ev,occupied
S969,P126,B10,ev,occupied
S970,P106,B11,ev,occupied
S971,P113,B12,ev,reserved
S972,P115,B13,ev,occupied
S973,P117,B14,ev,reserved
S974,P104,B15,ev,available
S975,P113,B16,ev,occupied
S976,P102,B18,ev,reserved
S977,P135,B19,ev,available
S978,P112,B20,ev,reserved
S979,P139,C01,ev,available
S980,P126,C02,ev,occupied
S981,P139,C04,ev,available
S982,P122,C06,ev,reserved
S983,P120,C07,ev,occupied
S984,P121,C08,ev,occupied
S985,P128,C09,ev,occupied
S986,P123,C10,ev,reserved
S987,P116,C11,ev,available
S988,P112,C12,ev,occupied
S989,P116,C13,ev,occupied
S990,P109,C14,ev,occupied
S991,P115,C15,ev,available
S992,P107,C16,ev,occupied
S993,P110,C17,ev,available
S994,P134,C18,ev,available
S995,P114,C19,ev,occupied
S996,P123,C20,ev,reserved
S997,P125,D01,ev,reserved
S998,P136,D02,ev,occupied
S999,P109,D03,ev,occupied
S1000,P110,D04,ev,occupied
S1001,P108,A01,car,available
S1002,P135,A02,car,occupied
S1003,P133,A03,car,available
S1004,P105,A04,car,occupied
S1005,P134,A05,car,available
S1006,P110,A06,car,occupied
S1007,P111,A07,car,reserved
S1008,P107,A08,car,reserved
S1009,P139,A10,car,available
S1010,P106,A11,car,reserved
S1011,P139,A12,car,available
S1012,P121,A13,car,available
S1013,P123,A14,car,occupied
S1014,P116,A15,car,available
S1015,P111,A16,car,reserved
S1016,P132,A17,car,reserved
S1017,P115,A19,car,available
S1018,P125,B02,car,available
S1019,P136,B04,car,available
S1020,P134,B05,car,reserved
S1021,P107,B07,car,available
S1022,P111,B08,car,occupied
S1023,P121,B09,car,occupied
S1024,P135,B10,car,available
S1025,P140,B12,car,occupied
S1026,P115,B13,car,reserved
S1027,P114,B14,car,available
