parking_lots_id,owner_id,name,address,latitude,longitude,price_per_hour,total_slots,vehicle_type,timing_start,timing_end,status,created_at
P130,O105,Lajpat Nagar Parking E,"Lajpat Nagar, Delhi",28.568328,77.242665,19.89,34,car,06:00,23:00,approved,2025-04-25T00:00:00
P131,O103,Vasant Kunj Parking A,"Vasant Kunj, Delhi",28.522455,77.158585,49.59,62,bike,06:00,23:00,pending,2025-05-21T00:00:00
P132,O119,Saket Parking B,"Saket, Delhi",28.528431,77.204603,16.68,78,ev,06:00,23:00,approved,2025-03-07T00:00:00
P133,O119,Janakpuri Parking C,"Janakpuri, Delhi",28.618999,77.096314,51.37,35,bike,06:00,23:00,approved,2025-06-05T00:00:00
P134,O116,Nehru Place Parking D,"Nehru Place, Delhi",28.544688,77.255026,38.18,56,bike,06:00,23:00,approved,2025-03-16T00:00:00
P135,O110,Vasant Kunj Parking E,"Vasant Kunj, Delhi",28.524237,77.156181,17.02,26,car,06:00,23:00,approved,2025-02-25T00:00:00
P136,O120,Nehru Place Parking A,"Nehru Place, Delhi",28.543398,77.246188,48.69,24,all,06:00,23:00,approved,2025-06-14T00:00:00
P137,O121,Saket Parking B,"Saket, Delhi",28.52514,77.206125,29.22,22,ev,06:00,23:00,rejected,2025-04-19T00:00:00
P138,O124,Dwarka Parking C,"Dwarka, Delhi",28.592978,77.044356,19.25,41,car,06:00,23:00,pending,2025-03-29T00:00:00
P139,O102,Janakpuri Parking D,"Janakpuri, Delhi",28.628043,77.088533,25.84,15,car,06:00,23:00,approved,2025-06-21T00:00:00
P140,O108,Greater Kailash Parking E,"Greater Kailash, Delhi",28.554604,77.250595,23.07,72,all,06:00,23:00,approved,2025-02-23T00:00:00
